Timestamp,MPa Pressure,mm Displacement
36032,0.28775659824046895,22.400000000000002
36034,0.2694281524926684,22.400000000000002
36036,0.2694281524926684,22.400000000000002
36038,0.23277126099706724,22.400000000000002
36040,0.23277126099706724,22.400000000000002
36042,0.21444281524926667,22.400000000000002
36044,0.2694281524926684,22.400000000000002
36046,0.28775659824046895,22.400000000000002
36048,0.28775659824046895,22.400000000000002
36050,0.2694281524926684,22.400000000000002
36052,0.2510997067448678,22.400000000000002
36054,0.23277126099706724,22.400000000000002
36056,0.23277126099706724,22.400000000000002
36058,0.21444281524926667,22.400000000000002
36060,0.23277126099706724,22.400000000000002
36062,0.2510997067448678,22.400000000000002
36064,0.28775659824046895,22.400000000000002
36066,0.28775659824046895,22.400000000000002
36068,0.2694281524926684,22.400000000000002
36070,0.2510997067448678,22.400000000000002
36072,0.23277126099706724,22.400000000000002
36074,0.21444281524926667,22.400000000000002
36076,0.21444281524926667,22.400000000000002
36078,0.2510997067448678,22.400000000000002
36080,0.2694281524926684,22.400000000000002
36082,0.2694281524926684,22.400000000000002
36084,0.2694281524926684,22.400000000000002
36086,0.23277126099706724,22.400000000000002
36088,0.21444281524926667,22.400000000000002
36090,0.21444281524926667,22.400000000000002
36092,0.21444281524926667,22.400000000000002
36094,0.23277126099706724,22.400000000000002
36096,0.2694281524926684,22.400000000000002
36098,0.28775659824046895,22.400000000000002
36100,0.2694281524926684,22.400000000000002
36102,0.2510997067448678,22.400000000000002
36104,0.2510997067448678,22.400000000000002
36106,0.23277126099706724,22.400000000000002
36108,0.23277126099706724,22.400000000000002
36110,0.23277126099706724,22.400000000000002
36112,0.2694281524926684,22.400000000000002
36114,0.28775659824046895,22.400000000000002
36116,0.2694281524926684,22.400000000000002
36118,0.2510997067448678,22.400000000000002
36120,0.23277126099706724,22.400000000000002
36122,0.23277126099706724,22.400000000000002
36124,0.21444281524926667,22.400000000000002
36126,0.21444281524926667,22.400000000000002
36128,0.2694281524926684,22.400000000000002
36130,0.3060850439882695,22.400000000000002
36132,0.28775659824046895,22.400000000000002
36134,0.2510997067448678,22.400000000000002
36136,0.2510997067448678,22.400000000000002
36139,0.23277126099706724,22.400000000000002
36140,0.21444281524926667,22.400000000000002
36142,0.21444281524926667,22.400000000000002
36144,0.23277126099706724,22.400000000000002
36146,0.2694281524926684,22.400000000000002
36148,0.28775659824046895,22.400000000000002
36150,0.2694281524926684,22.400000000000002
36152,0.23277126099706724,22.400000000000002
36154,0.21444281524926667,22.400000000000002
36156,0.1961143695014661,22.400000000000002
36158,0.21444281524926667,22.400000000000002
36160,0.23277126099706724,22.400000000000002
36162,0.2694281524926684,22.400000000000002
36164,0.2694281524926684,22.400000000000002
36166,0.2694281524926684,22.400000000000002
36168,0.2510997067448678,22.400000000000002
36170,0.23277126099706724,22.400000000000002
36172,0.21444281524926667,22.400000000000002
36174,0.21444281524926667,22.400000000000002
36176,0.23277126099706724,22.400000000000002
36178,0.2510997067448678,22.400000000000002
36180,0.2694281524926684,22.400000000000002
36182,0.2694281524926684,22.400000000000002
36184,0.2510997067448678,22.400000000000002
36186,0.2510997067448678,22.400000000000002
36188,0.23277126099706724,22.400000000000002
36190,0.21444281524926667,22.400000000000002
36192,0.21444281524926667,22.400000000000002
36194,0.23277126099706724,22.400000000000002
36196,0.2694281524926684,22.400000000000002
36198,0.2694281524926684,22.400000000000002
36200,0.2694281524926684,22.400000000000002
36202,0.2510997067448678,22.400000000000002
36204,0.23277126099706724,22.400000000000002
36206,0.1961143695014661,22.400000000000002
36208,0.21444281524926667,22.400000000000002
36210,0.21444281524926667,22.400000000000002
36212,0.2510997067448678,22.400000000000002
36214,0.2694281524926684,22.400000000000002
36216,0.2694281524926684,22.400000000000002
36218,0.2694281524926684,22.400000000000002
36220,0.23277126099706724,22.400000000000002
36222,0.21444281524926667,22.400000000000002
36224,0.21444281524926667,22.400000000000002
36226,0.21444281524926667,22.400000000000002
36228,0.21444281524926667,22.400000000000002
36230,0.2510997067448678,22.400000000000002
36232,0.2510997067448678,22.400000000000002
36234,0.2694281524926684,22.400000000000002
36236,0.23277126099706724,22.400000000000002
36238,0.21444281524926667,22.400000000000002
36240,0.1961143695014661,22.400000000000002
36242,0.21444281524926667,22.400000000000002
36244,0.23277126099706724,22.400000000000002
36246,0.2510997067448678,22.400000000000002
36248,0.2510997067448678,22.400000000000002
36250,0.2510997067448678,22.400000000000002
36252,0.23277126099706724,22.400000000000002
36254,0.21444281524926667,22.400000000000002
36256,0.21444281524926667,22.400000000000002
36258,0.21444281524926667,22.400000000000002
36260,0.21444281524926667,22.400000000000002
36262,0.23277126099706724,22.400000000000002
36264,0.2510997067448678,22.400000000000002
36267,0.2694281524926684,22.400000000000002
36268,0.2510997067448678,22.400000000000002
36270,0.23277126099706724,22.400000000000002
36272,0.21444281524926667,22.400000000000002
